,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,acc_std,accuracy,comp_fn,epoch,k,loss,minibatch,mode,rep_fn,rule_world,test_rule,top_mode,updates,train_world,test_world
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3720000000000001,E-GAT,1900,0,2.985,40,test,GAT,rule_54,,test,0,easy,novel
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.311,E-GAT,1900,0,3.2560000000000002,40,test,Param,rule_54,,test,0,easy,novel
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.35200000000000004,E-GAT,1900,0,2.7460000000000004,40,test,GCN,rule_54,,test,0,easy,novel
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.409,RGCN,1900,0,2.65,40,test,GAT,rule_54,,test,0,easy,novel
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.225,RGCN,1900,0,3.0780000000000003,40,test,Param,rule_54,,test,0,easy,novel
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.37,RGCN,1900,0,3.863,40,test,GCN,rule_54,,test,0,easy,novel
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,0.0,0.325,E-GAT,1900,0,3.487,40,test,GAT,rule_55,,test,0,easy,novel
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,0.0,0.287,E-GAT,1900,0,3.597,40,test,Param,rule_55,,test,0,easy,novel
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,0.0,0.309,E-GAT,1900,0,3.604,40,test,GCN,rule_55,,test,0,easy,novel
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,0.0,0.387,RGCN,1900,0,3.366,40,test,GAT,rule_55,,test,0,easy,novel
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,0.0,0.28800000000000003,RGCN,1900,0,3.765,40,test,Param,rule_55,,test,0,easy,novel
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,0.0,0.325,RGCN,1900,0,6.1229999999999976,40,test,GCN,rule_55,,test,0,easy,novel
12,12,12.0,12.0,12.0,12.0,12.0,12.0,,,0.0,0.396,E-GAT,1900,0,3.015,40,test,GAT,rule_56,,test,0,easy,novel
13,13,13.0,13.0,13.0,13.0,13.0,13.0,,,0.0,0.35700000000000004,E-GAT,1900,0,2.9760000000000004,40,test,Param,rule_56,,test,0,easy,novel
14,14,14.0,14.0,14.0,14.0,14.0,14.0,,,0.0,0.402,E-GAT,1900,0,2.96,40,test,GCN,rule_56,,test,0,easy,novel
15,15,15.0,15.0,15.0,15.0,15.0,15.0,,,0.0,0.37799999999999995,RGCN,1900,0,3.19,40,test,GAT,rule_56,,test,0,easy,novel
16,16,16.0,16.0,16.0,16.0,16.0,16.0,,,0.0,0.18899999999999997,RGCN,1900,0,3.4160000000000004,40,test,Param,rule_56,,test,0,easy,novel
17,17,17.0,17.0,17.0,17.0,17.0,17.0,,,0.0,0.297,RGCN,1900,0,4.9719999999999995,40,test,GCN,rule_56,,test,0,easy,novel
18,18,18.0,18.0,18.0,18.0,18.0,,,,0.0,0.3720000000000001,E-GAT,1900,0,2.985,40,test,GAT,rule_54,,test,0,easy,novel
19,19,19.0,19.0,19.0,19.0,19.0,,,,0.0,0.311,E-GAT,1900,0,3.256,40,test,Param,rule_54,,test,0,easy,novel
